player_id,goals_total,assists_total,yellow_cards,red_cards,player_name,date_of_birth,sub_position,transfer_fee_eur,season_year,competition_and_season,sb_matches_played,sb_goals,sb_assists,sb_shots,sb_xg,sb_passes,sb_pass_completed,sb_tackles,sb_interceptions,sb_dribbles_completed,sb_minutes_played,bmi,days_injured_prev_season,cumulative_days_injured,injury_days_per_game,injury_trend,severe_injury_this_season,age,position,market_value_eur,market_value_yoy_change,market_value_yoy_pct_change,minutes_played_season,goal_involvement_per_90,defensive_actions_per_90,sb_pass_accuracy,season_days_injured,injury_risk_score,availability_index,fan_sentiment,media_sentiment,overall_sentiment,sentiment_yoy_change
146164,6,10,4,0,Max Meyer,18-09-1995,Attacking Midfield,0,2015,1. Bundesliga_2015/2016,32,5,6,46,4.234751043,1023,856,12,13,36,95,22.72043837,0,0,0.0,0,0,20,Midfield,16000000,0,0.0,2762,0.521361332,0.814627082,0.836754643,0,0.0,1.0,0.581333022,0.113449104,0.347391063,0.0
146227,0,0,1,0,Jasper Cillessen,22-04-1989,Goalkeeper,13000000,2016,La Liga_2016/2017,1,0,0,0,0.0,27,27,0,0,0,93,26.01701183,0,0,0.0,0,0,27,Goalkeeper,9000000,0,0.0,1440,0.0,0.0,1.0,0,0.0,1.0,0.466406458,0.259967722,0.36318709,0.0
146227,0,0,0,0,Jasper Cillessen,22-04-1989,Goalkeeper,0,2017,La Liga_2017/2018,1,0,0,0,0.0,27,19,0,0,0,92,26.01701183,0,0,0.0,0,0,28,Goalkeeper,9000000,0,0.0,990,0.0,0.0,0.703703704,0,0.0,1.0,0.472507462,0.154709872,0.313608667,-0.049578423
146227,0,0,0,0,Jasper Cillessen,22-04-1989,Goalkeeper,0,2018,La Liga_2018/2019,2,0,0,0,0.0,82,74,0,0,0,92,26.01701183,0,0,0.0,0,0,29,Goalkeeper,18000000,9000000,1.0,990,0.0,0.0,0.902439024,0,0.0,1.0,0.026985329,0.486594651,0.25678999,-0.056818677
146227,0,0,0,0,Jasper Cillessen,22-04-1989,Goalkeeper,0,2020,La Liga_2020/2021,1,0,0,0,0.0,31,21,0,0,0,93,26.01701183,0,0,0.0,0,0,31,Goalkeeper,5000000,-13000000,-0.722222222,900,0.0,0.0,0.677419355,0,0.0,1.0,0.611347733,0.395981448,0.503664591,0.2468746
146310,6,6,5,0,Wataru Endo,09-02-1993,Defensive Midfield,0,2022,FIFA World Cup_2022,4,0,0,6,0.181400907,187,153,5,4,1,117,21.79820239,0,0,0.0,0,0,29,Midfield,6500000,0,0.0,3674,0.293957539,0.220468155,0.818181818,0,0.0,1.0,0.456010669,0.157611727,0.306811198,0.0
146373,1,0,1,0,Antoine Rabillard,22-09-1995,Centre-Forward,0,2015,Ligue 1_2015/2016,3,1,0,3,0.952378216,20,13,1,0,2,95,21.79820239,0,0,0.0,0,0,20,Attack,150000,0,0.0,85,1.058823529,1.058823529,0.65,0,0.0,1.0,-0.472988244,-0.270621021,-0.371804632,0.0
146714,0,0,0,0,Tomas Koubek,26-08-1992,Goalkeeper,0,2023,1. Bundesliga_2023/2024,1,0,0,0,0.0,34,24,0,0,0,89,24.08822312,0,0,0.0,0,0,31,Goalkeeper,800000,0,0.0,270,0.0,0.0,0.705882353,0,0.0,1.0,0.381050546,0.420252944,0.400651745,0.0
146743,0,1,2,0,Luca Antei,19-04-1992,Centre-Back,0,2015,Serie A_2015/2016,5,0,1,0,0.0,169,136,16,4,0,94,24.08822312,0,0,0.0,0,0,23,Defender,1600000,0,0.0,342,0.263157895,5.263157895,0.804733728,0,0.0,1.0,0.156990203,0.002033026,0.079511615,0.0
146795,0,3,2,0,Ryan Fraser,24-02-1994,Left Winger,0,2020,UEFA Euro_2020,2,0,0,3,0.091806952,21,14,0,0,0,94,24.08822312,20,222,3.315789474,43,1,26,Attack,10000000,0,0.0,927,0.291262136,0.0,0.666666667,63,0.304528766,0.82739726,0.003979724,-0.588746364,-0.29238332,0.0
146799,0,0,0,0,Alberto Brignoli,19-08-1991,Goalkeeper,2350000,2015,Serie A_2015/2016,1,0,0,0,0.0,44,19,0,0,0,88,23.87152778,0,0,0.0,0,0,24,Goalkeeper,1300000,0,0.0,90,0.0,0.0,0.431818182,0,0.0,1.0,0.140605978,-0.258962122,-0.059178072,0.0
146854,17,5,2,0,Wissam Ben Yedder,12-08-1990,Centre-Forward,0,2015,Ligue 1_2015/2016,35,17,5,94,18.91151529,981,685,21,17,24,97,23.87152778,0,0,0.0,0,0,25,Attack,8000000,0,0.0,2893,0.684410646,1.182163844,0.698267074,0,0.0,1.0,0.56459223,-0.032675643,0.265958294,0.0
146854,22,5,5,0,Wissam Ben Yedder,12-08-1990,Centre-Forward,0,2017,La Liga_2017/2018,1,0,0,0,0.0,5,4,0,0,0,93,23.87152778,0,0,0.0,0,0,27,Attack,28000000,20000000,2.5,2741,0.88653776,0.0,0.8,0,0.0,1.0,0.460309759,0.380331901,0.42032083,0.154362536
146854,30,11,3,0,Wissam Ben Yedder,12-08-1990,Centre-Forward,0,2018,La Liga_2018/2019,2,0,2,7,0.797175078,53,42,1,1,4,93,23.87152778,0,0,0.0,0,0,28,Attack,40000000,12000000,0.428571429,4028,0.916087388,0.04468719,0.79245283,0,0.0,1.0,0.253584872,1.0,0.626792436,0.206471606
146854,27,6,3,0,Wissam Ben Yedder,12-08-1990,Centre-Forward,0,2021,Ligue 1_2021/2022,1,0,0,0,0.0,12,11,1,0,0,54,23.87152778,0,0,0.0,0,0,31,Attack,25000000,-15000000,-0.375,3195,0.929577465,0.028169014,0.916666667,0,0.0,1.0,0.660142796,0.745917037,0.703029916,0.07623748
146854,24,7,4,0,Wissam Ben Yedder,12-08-1990,Centre-Forward,0,2022,Ligue 1_2022/2023,1,0,0,1,0.26837018,36,29,0,0,2,96,23.87152778,0,0,0.0,0,0,32,Attack,15000000,-10000000,-0.4,2824,0.98796034,0.0,0.805555556,0,0.0,1.0,0.171372206,0.922200213,0.54678621,-0.156243707
147034,8,1,5,0,Marco van Ginkel,01-12-1992,Central Midfield,0,2015,Premier League_2015/2016,17,0,0,10,0.519662764,387,308,28,13,5,94,23.87152778,0,0,0.0,0,0,23,Midfield,7000000,0,0.0,2380,0.340336134,1.550420168,0.795865633,0,0.0,1.0,0.181138178,-0.021453296,0.079842441,0.0
147483,1,1,7,0,Michaël Pereira,08-12-1987,Right Winger,0,2012,La Liga_2012/2013,1,1,0,1,0.18682046,24,12,1,0,0,90,23.87152778,0,0,0.0,0,0,25,Attack,2500000,0,0.0,1535,0.117263844,0.058631922,0.5,0,0.0,1.0,-0.215147147,0.035376235,-0.089885456,0.0
148252,1,0,0,0,Remo Freuler,15-04-1992,Central Midfield,3450000,2015,Serie A_2015/2016,6,1,0,5,0.60109025,159,125,19,4,1,93,24.07254253,0,0,0.0,0,0,23,Midfield,2000000,0,0.0,451,0.199556541,4.589800443,0.786163522,0,0.0,1.0,-0.076077973,0.38242108,0.153171554,0.0
148252,2,4,7,1,Remo Freuler,15-04-1992,Central Midfield,0,2020,UEFA Euro_2020,5,0,1,0,0.0,250,224,11,9,3,117,24.07254253,0,0,0.0,0,0,28,Midfield,25000000,23000000,5.0,3681,0.146699267,0.488997555,0.896,0,0.0,1.0,-0.143430104,0.255179612,0.055874754,-0.0972968
148252,0,0,4,0,Remo Freuler,15-04-1992,Central Midfield,8300000,2022,FIFA World Cup_2022,4,1,0,3,0.54479492,149,126,7,6,1,96,24.07254253,0,0,0.0,0,0,30,Midfield,8000000,-17000000,-0.68,2165,0.0,0.540415704,0.845637584,0,0.0,1.0,0.181678241,0.27732797,0.229503106,0.173628351
148252,0,2,9,0,Remo Freuler,15-04-1992,Central Midfield,1900000,2024,UEFA Euro_2024,5,1,2,3,0.21133549,235,208,6,5,0,117,24.07254253,0,0,0.0,0,0,32,Midfield,6500000,-1500000,-0.1875,3359,0.053587377,0.294730575,0.885106383,0,0.0,1.0,0.014981447,0.132128,0.073554724,-0.155948382
148367,1,4,6,0,Christian Nørgaard,10-03-1994,Defensive Midfield,0,2022,FIFA World Cup_2022,1,0,0,0,0.0,15,14,0,0,0,95,21.6788068,0,0,0.0,0,0,28,Midfield,16000000,0,0.0,1833,0.245499182,0.0,0.933333333,0,0.0,1.0,-0.009080858,0.331777836,0.161348489,0.0
148367,5,2,5,1,Christian Nørgaard,10-03-1994,Defensive Midfield,0,2024,UEFA Euro_2024,3,0,0,0,0.0,42,35,1,0,0,95,21.6788068,0,0,0.0,0,0,30,Midfield,12000000,-4000000,-0.25,2263,0.278391516,0.039770217,0.833333333,0,0.0,1.0,0.151177783,-0.124232767,0.013472508,-0.147875981
148455,15,7,3,0,Mohamed Salah,15-06-1992,Right Winger,0,2015,Serie A_2015/2016,34,14,6,73,8.50137079,1196,960,21,15,47,94,23.1292517,0,0,0.0,0,0,23,Attack,23000000,0,0.0,3402,0.582010582,0.952380952,0.802675585,0,0.0,1.0,0.003294072,0.602956784,0.303125428,0.0
148455,44,16,1,0,Mohamed Salah,15-06-1992,Right Winger,42000000,2017,Champions League_2017/2018,1,0,0,2,0.093628205,11,10,0,0,0,29,23.1292517,0,0,0.486486486,18,0,25,Attack,150000000,127000000,5.0,4119,1.310997815,0.0,0.909090909,18,0.26438462,0.950684932,0.820641638,0.636865603,0.728753621,0.425628192
148455,27,12,2,0,Mohamed Salah,15-06-1992,Right Winger,0,2018,Champions League_2018/2019,1,1,0,6,0.937532585,17,7,0,0,0,94,23.1292517,18,70,0.282051282,-7,0,26,Attack,150000000,0,0.0,4339,0.808942153,0.0,0.411764706,11,0.249143872,0.969863014,1.0,0.580530249,0.790265124,0.061511504
148455,27,12,2,0,Mohamed Salah,15-06-1992,Right Winger,0,2018,Champions League_2018/2019,1,1,0,6,0.937532585,17,7,0,0,0,94,23.1292517,18,70,0.282051282,-7,0,26,Attack,150000000,0,0.0,4339,0.808942153,0.041484213,0.756097561,11,0.249143872,0.969863014,0.473209545,0.60363791,0.538423728,-0.251841397
148455,27,12,2,0,Mohamed Salah,15-06-1992,Right Winger,0,2018,FIFA World Cup_2018,2,2,0,6,1.597275032,41,31,1,1,6,95,23.1292517,18,70,0.282051282,-7,0,26,Attack,150000000,0,0.0,4339,0.808942153,0.0,0.411764706,11,0.249143872,0.969863014,1.0,0.580530249,0.790265124,0.061511504
148455,27,12,2,0,Mohamed Salah,15-06-1992,Right Winger,0,2018,FIFA World Cup_2018,2,2,0,6,1.597275032,41,31,1,1,6,95,23.1292517,18,70,0.282051282,-7,0,26,Attack,150000000,0,0.0,4339,0.808942153,0.041484213,0.756097561,11,0.249143872,0.969863014,0.473209545,0.60363791,0.538423728,-0.251841397
148455,24,14,2,0,Mohamed Salah,15-06-1992,Right Winger,0,2023,African Cup of Nations_2023,2,1,0,4,0.934787797,51,41,1,0,0,100,23.1292517,0,0,0.0,0,0,31,Attack,55000000,-95000000,-0.633333333,3012,1.135458167,0.029880478,0.803921569,0,0.0,1.0,0.406568478,0.229256023,0.31791225,-0.220511477
148597,0,1,1,0,Clément Maury,20-11-1985,Goalkeeper,0,2015,Ligue 1_2015/2016,33,0,1,0,0.0,1271,753,0,0,1,95,23.14522577,0,0,0.0,0,0,30,Goalkeeper,1250000,0,0.0,3060,0.029411765,0.0,0.592446892,0,0.0,1.0,0.543313126,0.170497504,0.356905315,0.0
148967,1,2,3,0,Konstantinos Stafylidis,02-12-1993,Left-Back,0,2015,1. Bundesliga_2015/2016,11,1,0,10,0.271535279,381,268,23,15,6,93,23.14522577,0,0,0.0,0,0,22,Defender,2000000,0,0.0,1125,0.24,3.04,0.703412073,0,0.0,1.0,0.120715805,0.204610453,0.162663129,0.0
149239,0,0,0,0,Thomas Vincensini,12-09-1993,Goalkeeper,0,2015,Ligue 1_2015/2016,2,0,0,0,0.0,47,18,0,0,0,95,24.97959184,0,0,0.0,0,0,22,Goalkeeper,150000,0,0.0,118,0.0,0.0,0.382978723,0,0.0,1.0,0.096118136,-0.072246032,0.011936052,0.0
149446,5,1,7,0,Bryan Dabo,18-02-1992,Central Midfield,0,2015,Ligue 1_2015/2016,36,5,1,35,3.178361475,1707,1335,66,40,57,95,24.97959184,0,0,0.0,0,0,23,Midfield,2500000,0,0.0,2855,0.189141856,3.34150613,0.782073814,0,0.0,1.0,-0.158086544,0.172246,0.007079728,0.0
149526,0,2,9,0,Marco Crimi,17-03-1990,Central Midfield,0,2015,Serie A_2015/2016,20,0,1,8,0.340087785,364,238,52,21,12,95,24.97959184,0,0,0.0,0,0,25,Midfield,900000,0,0.0,1056,0.170454545,6.221590909,0.653846154,0,0.0,1.0,-0.165104826,-0.255593532,-0.210349179,0.0
